HANDI,ablationA,ortho
1.34588698e-02,3.24339128e-01,1.34586516e+00
3.93832587e-02,7.45341501e-01,1.64457195e+00
7.50387269e-02,9.12569527e-01,2.03800884e+00
9.32490313e-02,8.74755106e-01,1.96406571e+00
9.25944477e-02,1.29067689e+00,1.86347417e+00
7.82348304e-02,inf,1.63920959e+00
5.78919574e-02,inf,1.48071357e+00
5.50261082e-02,inf,1.39228050e+00
5.70907409e-02,inf,1.28849829e+00
1.81683637e-02,7.17715727e-01,1.26327918e+00
8.58864855e-03,2.57361278e-01,1.37192405e+00
4.38235876e-02,6.81414307e-01,1.83278252e+00
7.42563812e-02,7.20116073e-01,2.07918892e+00
9.22046426e-02,6.26592743e-01,1.92892199e+00
9.64313978e-02,6.83550085e-01,1.80716884e+00
8.82727515e-02,1.87504716e+00,1.70965339e+00
7.31181546e-02,inf,1.48749442e+00
6.40684724e-02,inf,1.36445796e+00
3.22856565e-02,inf,1.23899070e+00
2.43902158e-02,6.92124610e-01,1.24809442e+00
8.16897340e-03,2.64898976e-01,1.38412015e+00
4.75436159e-02,6.60892459e-01,1.98024389e+00
7.19278865e-02,6.27159026e-01,2.09606177e+00
9.11108311e-02,5.18562870e-01,1.76886128e+00
9.73436879e-02,4.79507431e-01,1.61200563e+00
9.48991444e-02,6.83588503e-01,1.69497688e+00
8.49809357e-02,3.47745605e+00,1.44684686e+00
6.16406934e-02,inf,1.30455899e+00
2.07361369e-02,2.60540637e+00,1.21810675e+00
2.57128117e-02,7.17309629e-01,1.25881570e+00
1.05842868e-02,2.87300336e-01,1.39252106e+00
4.84689055e-02,6.28141289e-01,2.05731618e+00
6.64207235e-02,5.86601275e-01,2.04555649e+00
9.11853216e-02,4.41812991e-01,1.34658769e+00
9.94743823e-02,3.31481359e-01,9.86635184e-01
9.48336752e-02,4.42693813e-01,1.44402239e+00
8.78094904e-02,6.46270033e-01,1.30447084e+00
5.01271010e-02,1.92635942e+00,1.24411801e+00
1.89160332e-02,1.03820398e+00,1.23847632e+00
2.52694450e-02,7.24281749e-01,1.28302304e+00
1.88938746e-02,3.07147101e-01,1.45330457e+00
4.55362260e-02,6.04560924e-01,2.09747079e+00
5.97063225e-02,5.74131205e-01,1.95857979e+00
9.01500904e-02,3.91947009e-01,9.37962215e-01
1.12635429e-01,4.73148437e-02,1.65679093e-01
9.30150491e-02,2.83821808e-01,8.25180315e-01
7.59672632e-02,2.68839438e-01,1.12704612e+00
4.98591281e-02,6.31252061e-01,1.15399972e+00
2.20453775e-02,8.81064801e-01,1.27899829e+00
2.30126886e-02,7.03306940e-01,1.28582928e+00
2.54202951e-02,3.57361115e-01,1.50722177e+00
4.06844915e-02,5.84714189e-01,2.11378764e+00
5.62141724e-02,6.01488541e-01,2.11973037e+00
9.14631442e-02,4.51558472e-01,1.22883212e+00
1.20164337e-01,6.74727470e-02,6.62690457e-01
1.07048323e-01,8.93488026e-02,6.41781344e-01
8.43796493e-02,1.51948060e-01,1.00815697e+00
5.95650336e-02,5.57354139e-01,1.12004286e+00
2.76045119e-02,8.84172952e-01,1.30302772e+00
2.28757807e-02,6.17827966e-01,1.24950756e+00
2.86979131e-02,4.27016478e-01,1.69067378e+00
3.50150436e-02,5.65354503e-01,2.26268098e+00
5.09991743e-02,7.08535007e-01,3.13152673e+00
9.75553499e-02,7.84831355e-01,2.35141617e+00
1.24131557e-01,4.11133771e-01,1.16926930e+00
1.28192933e-01,1.08235707e-01,9.80887768e-01
1.10641297e-01,2.35518808e-01,1.03764256e+00
7.66142950e-02,7.40920104e-01,1.16906561e+00
3.35852052e-02,9.12950092e-01,1.31116003e+00
2.45395638e-02,5.65679854e-01,1.22781552e+00
2.87358811e-02,4.93629015e-01,1.79472862e+00
3.17485986e-02,5.58282770e-01,2.90651415e+00
4.90216628e-02,1.07687442e+00,5.61384875e+00
7.43070522e-02,1.17766689e+00,4.66847999e+00
1.07822166e-01,9.43172084e-01,2.26373788e+00
1.28166314e-01,5.47255138e-01,1.27148386e+00
1.20933322e-01,5.80742774e-01,1.18586920e+00
8.81427719e-02,9.33120769e-01,1.27011793e+00
3.57367586e-02,9.46768700e-01,1.33840594e+00
3.08693361e-02,5.67375188e-01,1.18541560e+00
2.93706934e-02,5.02074515e-01,1.78429833e+00
3.43863081e-02,6.40278572e-01,4.88643230e+00
3.84398161e-02,5.69092557e+00,5.52508057e+00
4.28153575e-02,3.65790806e+00,4.22997779e+00
7.30821300e-02,1.44021786e+00,4.28673226e+00
1.07530287e-01,1.01371815e+00,2.00132314e+00
1.14402996e-01,9.42242282e-01,1.43746469e+00
8.76425767e-02,1.07124701e+00,1.39293086e+00
3.14922753e-02,9.78930128e-01,1.39541361e+00
4.27841610e-02,5.47059337e-01,1.13484045e+00
3.27055177e-02,4.66729971e-01,1.85049718e+00
3.77341464e-02,1.32068910e+00,4.60161329e+00
2.05828330e-02,inf,inf
1.80794255e-02,inf,inf
3.70821477e-02,3.10997612e+00,4.62800054e+00
7.34811645e-02,1.44891392e+00,3.27890884e+00
9.24642321e-02,1.21440908e+00,1.91741157e+00
7.41798576e-02,1.19475453e+00,1.61580746e+00
2.52018106e-02,9.87689320e-01,1.50278700e+00
6.23615607e-02,5.44226697e-01,1.17345569e+00
